source_id,market,category,title_or_identifier,variables,observation_unit,evidence_grade,directness,redistributability,url,access_date,source_type,capture_status,retrieved_at_utc,content_type,local_snapshot,file_size_bytes,sha256
charmin_ultra_strong_regular,US,product specification,Charmin Ultra Strong Regular Roll,ply;sheets/roll;roll count,one named retail product/SKU,A1,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://shop.charmin.com/ultra-strong-regular-roll/,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:30:51Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/charmin_ultra_strong_regular.html,147346,ed620778451cad212095207c3934d231531107bf95e02cb7e7eef8420344af7a
charmin_forever_roll,US,product and compatibility specification,Charmin Forever Roll Starter Kit,sheet width;sheet length;sheet count;total area;ply;roll mass;roll diameter;roll count;dedicated holder compatibility,one named product and holder kit,A1,DIMENSIONAL_AND_COMPATIBILITY_OBSERVATION_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://shop.charmin.com/forever-roll-starter-kit-holder-stand-included-2-roll/,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:35:57Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/charmin_forever_roll.html,158235,90537e26540f6e05066f69f46e548c82805fc286f1b8ae0e7000cfb94e23c46a
tork_us_1102910,US,product specification,Tork 1102910,roll length;roll width;roll diameter;core diameter;sheet count;sheet length;ply;system compatibility;packaging dimensions;weights;unit counts,one manufacturer refill SKU,A1,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://www.torkglobal.com/us/en/product/toilet-paper/refills/mid-size-rolls/1102910,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:30:51Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/tork_us_1102910.html,687877,cc2046859c15f9e6b9ac5e0ab0be37375b80183d3f73710e531c08e6457c6bf7
tork_ie_101408,Ireland/EU,product specification,Tork 101408,roll length;roll width;roll diameter;core diameter;sheet length;ply;system compatibility;packaging dimensions;weights;unit counts,one manufacturer refill SKU,A1,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://www.torkglobal.com/ie/en/product/toilet-paper/refills/conventional-toilet-paper/101408,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:30:52Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/tork_ie_101408.html,695202,091c23bd5bfa2440afc043282c17f821d20a8baaf83639bc0b426f1b046a1940
tork_au_2170329,Australia,product specification,Tork 2170329,roll length;roll width;sheet count;sheet length;ply;system compatibility;packaging dimensions;weights;unit counts,one manufacturer refill SKU,A1,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://www.torkglobal.com/au/en/product/toilet-paper/refills/conventional-rolls/2170329,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:30:53Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/tork_au_2170329.html,693321,b8f6ea232bdab464781b3226937c1272ce20720cd6211c7898cbf5005211a1dd
tork_gb_dispenser_557000,UK,dispenser compatibility,Tork 557000,system ID;dispenser height;width;length;material;consumer/transport packaging dimensions;gross weights;unit counts,one manufacturer dispenser SKU,A1,DISPENSER_COMPATIBILITY_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://www.torkglobal.com/gb/en/product/toilet-paper/dispensers/conventional-roll-dispensers/557000,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:35:57Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/tork_gb_dispenser_557000__20260924T063557Z.html,761258,029aed56d3c6720c5b3b8ded3e365b1afde7a655a8d3d4e4a513fe7691ccc58c
kc_scott_13217,US,product specification,Scott 13217,sheet count;ply;sheet dimensions;roll count;core/standard-roll format,one manufacturer refill SKU,A2,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted manufacturer page; local capture blocked; cite official URL and facts only after independent verification,https://www.kcprofessional.com/en-us/products/restroom-and-hygiene/toilet-paper-and-seat-covers/standard-roll/core/scott%C2%AE-standard-roll-toilet-paper-(2-ply-srb)/13217,2026-09-24,manufacturer_html,FAILED_HTTP_403,2026-09-24T06:30:55Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/kc_scott_13217.html,6068,94e54936339aa4a9dd5f1c29ddda852993c3e545dd39b59a6bf4e8ec57c1a723
tesco_luxury_297444884,UK,retailer product record,Tesco Luxury Soft Toilet Tissue product 297444884,ply;sheet count;roll count;package/product statements,one retailer-listed product,B2,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted retailer page; local capture blocked; cite limited facts only after independent verification,https://www.tesco.com/groceries/en-GB/products/297444884,2026-09-24,retailer_html,FAILED_HTTP_403,2026-09-24T06:30:55Z,text/html,data/raw/toilet_paper_sources/snapshots/2026-09-24/tesco_luxury_297444884.html,415,37eb84c9fe6e0ae86b4672e31e390b44080a474449597f203fe6c32a07477ee9
elleair_single,Japan,product specification,Elleair Toilet Tissue Single,roll width;roll length;roll count;package dimensions,one named manufacturer product/family,A1,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://www.elleair.jp/product/detail/toilet_toilet-tissue_single,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:30:55Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/elleair_single.html,77031,708a0060fb50e515e95d6bf8154861218154cb64064225f2f04877d62e3f4265
elleair_double,Japan,product specification,Elleair Toilet Tissue Double,roll width;roll length;ply;roll count;package dimensions,one named manufacturer product/family,A1,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://www.elleair.jp/product/detail/toilet_toilet-tissue_double,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:30:56Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/elleair_double.html,77065,f18f1836601c11dae7a872122aff5486d4b2ad7cdb6ed5086d9ef36618f69e4b
nepia_width_change_release,Japan,manufacturer field change and survey,Nepia eco renewal 2024-03-26,width before/after;roll length;ply;material;acceptance percentage;survey n,three renewed products plus pooled prior user survey,A2,WIDTH_CHANGE_ACCEPTANCE_NOT_CONSUMPTION,Copyrighted manufacturer release; cite extracted facts and URL; do not redistribute snapshot,https://www.nepia.co.jp/company/news_release/news20240326.pdf,2026-09-24,manufacturer_pdf,SUCCESS,2026-09-24T06:30:57Z,application/pdf,data/raw/toilet_paper_sources/snapshots/2026-09-24/nepia_width_change_release.pdf,1595443,66dc5dcacd00a8a340491b84807cf6ab14822b1a40787f50bbd7ee8139673d48
nepia_product_design_width,Japan,manufacturer environmental/logistics calculation,Nepia product-design environmental data,width before/after;calculated product-volume reduction;company-estimated logistics/CO2 effects,manufacturer product changes and shipment-based calculations,A2,LOGISTICS_CALCULATION_NOT_CONSUMPTION,Copyrighted manufacturer report; cite extracted facts and URL; do not redistribute snapshot,https://www.nepia.co.jp/pdf/sustainability/productdesign/products_b.pdf,2026-09-24,manufacturer_pdf,SUCCESS,2026-09-24T06:30:58Z,application/pdf,data/raw/toilet_paper_sources/snapshots/2026-09-24/nepia_product_design_width.pdf,308712,9d28107b4abd98747a8b76036b7737d7da8e1acf1cff41a4eed1b5e87d376c78
katrin_169505,Continental Europe,product and logistics specification,Katrin 169505,sheet length;sheet width;sheet count;roll length;roll diameter;core diameter;ply;pack dimensions;gross weight;rolls/pack;transport/pallet units;compatible dispensers,one manufacturer product SKU across listed European markets,A1,DIMENSIONAL_AND_COMPATIBILITY_OBSERVATION_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://www.metsagroup.com/katrin/products/toilet-paper/toilet-paper-roll/169505-katrin-toilet-paper-roll-250-sheets-2-ply/,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:30:59Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/katrin_169505.html,211039,2e799cc3f8ab65c74931e3687acedff82c6c5d852e99ccc7d19522dc7973135b
katrin_104834,Continental Europe,technical specification,Katrin 104834,sheet length;sheet width;sheet count;roll length;roll diameter;core diameter;ply;pack dimensions;gross weight;rolls/pack,one manufacturer product SKU,A1,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted manufacturer technical sheet; cite extracted facts and URL; do not redistribute snapshot,https://www.metsagroup.com/contentassets/c6bc3da19e63405682fe98dcbb8d174e/104834_katrin_en.pdf,2026-09-24,manufacturer_pdf,SUCCESS,2026-09-24T06:31:00Z,application/pdf,data/raw/toilet_paper_sources/snapshots/2026-09-24/katrin_104834.pdf,163286,496fdc7c0df4dcd6c7486c6b250fef2ecbb90929801af7caef9147d0e58ff430
quilton_standard,Australia,product specification,Quilton Premium 3 Ply,ply;sheet count/pack variants;product description,one manufacturer product family,A1,DIMENSIONAL_OBSERVATION_ONLY,Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot,https://www.quilton.com.au/products/3-ply-toilet-paper,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:31:00Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/quilton_standard.html,189081,c67c4cc47f689c4621eabe5b03c1cc1733cf5f9ae7be8e39f5d61d0f2b767812
quilton_kingsize,Australia,product and compatibility specification,Quilton King Size,relative sheet-area claim;ply;holder compatibility;pack variants,one manufacturer product family,A2,RELATIVE_SIZE_AND_COMPATIBILITY_ONLY,Copyrighted manufacturer page; cite claim with manufacturer attribution; do not redistribute snapshot,https://www.quilton.com.au/products/quilton-king-size,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:31:00Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/quilton_kingsize.html,185461,618a10ea5d1f7f5acdbb22f2ebb3174e952b2700afa0d042db5d09c3c879039b
quilton_double_length,Australia,failed product-page lead,Quilton Double Length attempted URL,none from valid record; HTTP 404,failed lead,D,NO_USABLE_EVIDENCE,HTTP-404 page; retain for provenance but do not use as evidence,https://www.quilton.com.au/products/double-length-toilet-tissue,2026-09-24,manufacturer_html,FAILED_HTTP_404,2026-09-24T06:35:58Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/quilton_double_length.html,110316,2a5545428e9f8a71ac1132fe6fc506926406af470efe836d8fe54dc7cb231d97
quilton_faq,Australia,manufacturer FAQ,Quilton FAQ,regular/double/triple length categories;regular sheet count;roll-diameter/pallet-packing explanation,manufacturer product family statements,A2,PACKING_CONTEXT_NOT_CONSUMPTION,Copyrighted manufacturer FAQ; cite extracted facts and URL; do not redistribute snapshot,https://www.quilton.com.au/pages/faqs,2026-09-24,manufacturer_html,SUCCESS,2026-09-24T06:35:58Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/quilton_faq.html,126268,dfcaa665d9ce90cbb6cfa420589baa3e1265e443d842fd9d66a44589a741b918
us_dla_aa59594a,US,government procurement standard,A-A-59594A attempted DLA PDF URL,sheet-size classes;ply;perforated/nonperforated formats;grammage/basis-weight minima,US institutional procurement specification,A2,STANDARDS_CONSTRAINT_NOT_BEHAVIOR,US federal specification; initial local URL blocked; use successful official QuickSearch capture,https://www.dla.mil/Portals/104/Documents/TroopSupport/Subsistence/Rations/cids/59594A.pdf,2026-09-24,government_pdf,FAILED_HTTP_403,2026-09-24T06:31:01Z,text/html,data/raw/toilet_paper_sources/snapshots/2026-09-24/us_dla_aa59594a.pdf,465,687d906d6d63f6154a53781933fe421449d957747e486df77d95ab3c7f0c6936
us_dla_aa59594a_quicksearch,US,government procurement standard,A-A-59594A dated 2011-06-01,sheet-size classes;ply;perforated/nonperforated formats;grammage/basis-weight minima,US institutional procurement specification,A1,STANDARDS_CONSTRAINT_NOT_BEHAVIOR,US federal work generally public domain; cite official QuickSearch record,https://quicksearch.dla.mil/WMX/Default.aspx?token=5710999,2026-09-24,government_html,SUCCESS,2026-09-24T06:35:59Z,application/pdf,data/raw/toilet_paper_sources/snapshots/2026-09-24/us_dla_aa59594a_quicksearch.html,30211,507d6e6cdf21d0e1a4650aab711291969ec29e4ea4421734a868f1e1f5cc875c
us_epa_cpg_paper,US,government environmental procurement guidance,US EPA CPG paper products,postconsumer-fiber range;total recovered-fiber range for bathroom tissue,procurement product category,A1,ENVIRONMENTAL_ATTRIBUTE_NOT_DIMENSION_OR_BEHAVIOR,US federal page generally public domain; cite current page,https://www.epa.gov/smm/comprehensive-procurement-guidelines-paper-and-paper-products,2026-09-24,government_html,SUCCESS,2026-09-24T06:31:01Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/us_epa_cpg_paper.html,72619,fa761c6991c284b11dc029e69f20264ce111dc68df62ab7813ea5c32f5cb8765
us_access_board_ada_ch6,US,government accessibility standard,2010 ADA Standards Chapter 6 section 604.7,dispenser location;outlet height;delivery/continuous-flow constraints,accessible water-closet installation,A1,INSTALLATION_AND_DISPENSING_CONSTRAINT_ONLY,US federal page generally public domain; cite current page,https://www.access-board.gov/ada/chapter/ch06/,2026-09-24,government_html,SUCCESS,2026-09-24T06:31:01Z,text/html; charset=utf-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/us_access_board_ada_ch6.html,96379,d27be57fadbfd71d166e104e1c4c06f2dcdeb009a585248c56e3bca84dc435ab
eu_ecolabel_paper,EU,government environmental criteria portal,EU Ecolabel paper product group,scope;criteria links;applicability to tissue paper and tissue products,EU environmental label product group,A1,ENVIRONMENTAL_ATTRIBUTE_NOT_DIMENSION_OR_BEHAVIOR,European Commission reuse policy applies; cite with attribution,https://environment.ec.europa.eu/topics/circular-economy-topics/eu-ecolabel/product-groups-and-criteria/paper_en,2026-09-24,government_html,SUCCESS,2026-09-24T06:31:02Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/eu_ecolabel_paper.html,19478,232e2b637b44defb59eb41aaecd36cb3c95a1b1bad13cd0c5fc67f8e668ec63c
eu_decision_2019_70,EU,government environmental standard,Commission Decision (EU) 2019/70,tissue-product scope;fiber sourcing;emissions;energy;hazardous substances;waste;fitness-for-use criteria,EU Ecolabel product group/eligible product,A1,ENVIRONMENTAL_ATTRIBUTE_NOT_DIMENSION_OR_BEHAVIOR,EU legal text; reuse subject to EUR-Lex notice; local direct capture incomplete,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32019D0070,2026-09-24,government_html,INCOMPLETE_EMPTY_HTTP_202,2026-09-24T06:31:03Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/eu_decision_2019_70.html,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
eu_decision_2019_70_current,EU,government environmental standard,Consolidated Commission Decision (EU) 2019/70,current consolidated ecolabel criteria and validity,EU Ecolabel product group/eligible product,A2,ENVIRONMENTAL_ATTRIBUTE_NOT_DIMENSION_OR_BEHAVIOR,EU legal text; local direct capture HTTP-202/empty; cite official consolidated URL only,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02019D0070-20241220,2026-09-24,government_html,INCOMPLETE_EMPTY_HTTP_202,2026-09-24T06:35:59Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/eu_decision_2019_70_current.html,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
eu_decision_2024_3179,EU,government environmental standard,Commission Decision (EU) 2024/3179,extension of Decision (EU) 2019/70 validity through 2028-12-31,EU Ecolabel product-group validity,A1,STANDARDS_STATUS_ONLY,EU legal text; local PDF capture HTTP-202/empty; cite official ELI HTML until a complete local snapshot is obtained,https://eur-lex.europa.eu/eli/dec/2024/3179/oj/eng/pdf,2026-09-24,government_pdf,INCOMPLETE_EMPTY_HTTP_202,2026-09-24T06:38:51Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/eu_decision_2024_3179.pdf,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
iso_12625_6,International,test-method standard,ISO 12625-6 tissue paper grammage,grammage determination method,laboratory specimen/test result,A2,TEST_METHOD_NOT_PRODUCT_REQUIREMENT,ISO metadata may be cited; copyrighted standard text is not redistributable; local capture blocked,https://www.iso.org/standard/66472.html,2026-09-24,standards_metadata_html,FAILED_HTTP_403,2026-09-24T06:31:03Z,text/html; charset=UTF-8,data/raw/toilet_paper_sources/snapshots/2026-09-24/iso_12625_6.html,5544,6ea77da7489fd69ad3cea905882f17e65da85b4a7bc320ebfa6aaf2dc221f692
