"identifier","title","category","priority_date","publication_date","applicant_assignee_as_shown","google_patents_url","wipo_patentscope_url","espacenet_url","verification","access_date","status_caveat"
"US453003A","Toilet or wrapping paper","Direct toilet/bath tissue; longitudinal and transverse weakness lines","","1891-05-26","Inventor/applicant Oliver Hewlett Hicks; original assignee Morgan Envelope Company","https://patents.google.com/patent/US453003A/en","","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=453003A&KC=A&FT=D","US patent facsimile and Google Patents record locally preserved; identity repaired after post-audit review","2026-09-24","Issued US patent. No current assignee is asserted. Google legal-status labels are assumptions, not legal conclusions."
"WO2003026472A1","Toilet paper","Direct toilet paper; central/common perforation and multiple tear geometries","2001-09-22","2003-04-03","Inventor and applicant Helmuth Friedrich","https://patents.google.com/patent/WO2003026472A1/en","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2003026472","https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=03026472A1&KC=A1&FT=D","WIPO facsimile front page and Google full text locally preserved; identity repaired after post-audit review","2026-09-24","PCT publication; no corporate or current assignee is asserted."
"US20160345786A1 / US9918595B2","Partitionable paper towel","Analogous paper towel; full, half, or quarter sheet through machine-direction perforation","2015-05-26","2016-12-01 / 2018-03-20","Inventors Steven R. Olson, David A. Hoadley, and Thomas A. Daul; applicant/original assignee Georgia-Pacific Consumer Products LP; current assignee GPCP IP Holdings LLC","https://patents.google.com/patent/US20160345786A1/en","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016191420","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2016345786A1&KC=A1&FT=D","USPTO facsimile and Google family/assignment record locally preserved; identity repaired after post-audit review","2026-09-24","A1 publication matured to US9918595B2. Current-assignee field is bibliographic, not a legal opinion."
"US6458450B1","Tissue paper","Direct bath-tissue evidence; nine focus-group width/use rows in Table 2","1999-02-09","2002-10-01","Seven named inventors; applicant/original and current assignee The Procter & Gamble Company","https://patents.google.com/patent/US6458450B1/en","","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=6458450B1&KC=B1&FT=D","USPTO facsimile and Google full text locally preserved; title and roles repaired after post-audit review","2026-09-24","Issued US patent. Table 2 is weak patent-reported non-population evidence, not a controlled effectiveness study."
"WO2010109404A2 / US8221864B2","Toilet paper roll having angled sides","Direct toilet paper; narrower actual width with greater effective folded width","2009-03-27","2010-09-30 / 2012-07-17","Kimberly-Clark Worldwide, Inc.; Tsutama Satake Neto shown for US-only designation","https://patents.google.com/patent/US8221864B2/en","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2010109404","https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2010109404A2&KC=A2&FT=D","Google full text and WIPO bibliographic record verified","2026-09-24","US B2 is an issued patent; current enforceability not independently verified."
"WO2015112867A1","Toilet paper sheets having alternating sidewall indentations","Direct toilet paper; less material while preserving folded effective area","2014-01-23","2015-07-30","David R. Morris","https://patents.google.com/patent/WO2015112867A1/en","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015112867","https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2015112867A1&KC=A1&FT=D","Google full text and WIPO bibliographic record verified","2026-09-24","PCT publication; no current national legal status asserted."
"WO2021222474A2 / US20230165413A1","Products and methods for reducing toilet paper consumption","Direct toilet paper; 2–3.6 inch width and roll-holder adapter","2020-04-29","2021-11-04 / 2023-06-01","Paula Loos","https://patents.google.com/patent/US20230165413A1/en","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021222474","https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2021222474A2&KC=A2&FT=D","Google full text and WIPO bibliographic record verified","2026-09-24","US A1 is a published application; Google 'pending' label was not independently verified."
"WO2016191420A1 / US9918595B2","Partitionable paper towel","Analogous paper towel; full, half, or quarter sheet through machine-direction perforation","2015-05-26","2016-12-01 / 2018-03-20","GPCP IP Holdings LLC","https://patents.google.com/patent/US9918595B2/en","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016191420","https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2016191420A1&KC=A1&FT=D","Google full text and WIPO bibliographic record verified","2026-09-24","US B2 is an issued patent; Google 'active' label is an assumption, not a legal conclusion."
"US9918596B2","Partitionable paper product","Analogous generic rolled web; bidirectional perforation and selectable portions/dispensing","2015-05-26","2018-03-20","GPCP IP Holdings LLC","https://patents.google.com/patent/US9918596B2/en","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016191420","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=9918596B2&KC=B2&FT=D","Google full text verified; PCT family bibliographic record verified","2026-09-24","Issued US patent; Google 'active' label is an assumption, not a legal conclusion."
"US10390662B1","Paper towel with customized tear force perforations","Analogous paper towel; central longitudinal and orthogonal perforations with different tear forces","2017-12-19","2019-08-27","Inventor Nick Gordon; current and original assignee shown as individual","https://patents.google.com/patent/US10390662B1/en","","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=10390662B1&KC=B1&FT=D","Google full text locally preserved","2026-09-24","Issued US patent; current legal status not independently verified."
"WO2010076689A1","Method for perforating tissue sheets","Manufacturing/enabling art; complex perforation patterns for towels and bath tissue","2008-12-29","2010-07-08","Kimberly-Clark Worldwide, Inc.","https://patents.google.com/patent/WO2010076689A1/en","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2010076689","https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2010076689A1&KC=A1&FT=D","Google full text and WIPO bibliographic record verified","2026-09-24","PCT publication; no current national legal status asserted."
"US8757058B2","Process for perforating a web","Manufacturing/enabling art; cross- and machine-direction perforation","2010-06-21","2014-06-24","The Procter & Gamble Company","https://patents.google.com/patent/US8757058B2/en","","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=8757058B2&KC=B2&FT=D","Google full text locally preserved","2026-09-24","Issued US patent; Google 'active' label is an assumption, not a legal conclusion."
"US20110311748A1 / US8287976B2","Uniquely perforated web product","Manufacturing/product art; nonlinear weakness lines with machine- and cross-direction components","2010-06-21","2011-12-22 / 2012-10-16","The Procter & Gamble Company","https://patents.google.com/patent/US20110311748A1/en","","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2011311748A1&KC=A1&FT=D","Google full text locally preserved","2026-09-24","A1 published application matured to an issued US B2; current enforceability not independently verified."
"US8741410B2","Manufacturing method and system and associated rolls of sheets with alternating cuts and pre-cuts","Related dispensing; alternating cuts/pre-cuts to control sheet delivery and overconsumption","2006-10-31","2014-06-03","GPCP IP Holdings LLC; original assignee Georgia-Pacific Consumer Products LP","https://patents.google.com/patent/US8741410B2/en","","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=8741410B2&KC=B2&FT=D","Google full text locally preserved","2026-09-24","Issued US patent; current legal status not independently verified."
