source_id,market,category,title_or_identifier,variables,observation_unit,evidence_grade,directness,redistributability
charmin_ultra_strong_regular,US,product specification,Charmin Ultra Strong Regular Roll,"ply;sheets/roll;roll count","one named retail product/SKU",A1,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
charmin_forever_roll,US,product and compatibility specification,Charmin Forever Roll Starter Kit,"sheet width;sheet length;sheet count;total area;ply;roll mass;roll diameter;roll count;dedicated holder compatibility","one named product and holder kit",A1,DIMENSIONAL_AND_COMPATIBILITY_OBSERVATION_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
tork_us_1102910,US,product specification,Tork 1102910,"roll length;roll width;roll diameter;core diameter;sheet count;sheet length;ply;system compatibility;packaging dimensions;weights;unit counts","one manufacturer refill SKU",A1,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
tork_ie_101408,Ireland/EU,product specification,Tork 101408,"roll length;roll width;roll diameter;core diameter;sheet length;ply;system compatibility;packaging dimensions;weights;unit counts","one manufacturer refill SKU",A1,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
tork_au_2170329,Australia,product specification,Tork 2170329,"roll length;roll width;sheet count;sheet length;ply;system compatibility;packaging dimensions;weights;unit counts","one manufacturer refill SKU",A1,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
tork_gb_dispenser_557000,UK,dispenser compatibility,Tork 557000,"system ID;dispenser height;width;length;material;consumer/transport packaging dimensions;gross weights;unit counts","one manufacturer dispenser SKU",A1,DISPENSER_COMPATIBILITY_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
kc_scott_13217,US,product specification,Scott 13217,"sheet count;ply;sheet dimensions;roll count;core/standard-roll format","one manufacturer refill SKU",A2,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted manufacturer page; local capture blocked; cite official URL and facts only after independent verification"
tesco_luxury_297444884,UK,retailer product record,Tesco Luxury Soft Toilet Tissue product 297444884,"ply;sheet count;roll count;package/product statements","one retailer-listed product",B2,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted retailer page; local capture blocked; cite limited facts only after independent verification"
elleair_single,Japan,product specification,Elleair Toilet Tissue Single,"roll width;roll length;roll count;package dimensions","one named manufacturer product/family",A1,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
elleair_double,Japan,product specification,Elleair Toilet Tissue Double,"roll width;roll length;ply;roll count;package dimensions","one named manufacturer product/family",A1,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
