file_name	source_url_or_provenance	data_identifier_or_version	acquired_utc	retrieval_condition	local_path	file_size_bytes	sha256	status	usage_condition
abstract_and_press_evidence_fetch_2026-09-24.txt	https://ui.adsabs.harvard.edu/abs/2020JCPro.27623070Z/abstract | https://www.eurekalert.org/news-releases/999341 | https://m.ekn.kr/view.php?key=20251110022145067	Abstract and press evidence bundle fetched 2026-09-24	2026-09-24T06:32:29.104496504Z	Devin web fetch; rendered text snapshot	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/abstract_and_press_evidence_fetch_2026-09-24.txt	36019	c6a4e84493731567bdf478f4055b92b9f13c3d87873938622416ed5b843bb86d	success	Research evidence; cite the source URL and respect source terms
baron_200ml_u_straw_datasheet.pdf	https://baron-egypt.com/files/data-sheet/200ml-Compi-block-Specification-U-straw.pdf	SP 200 issue 1/0 dated 2017-09-01	2026-09-24T06:30:31.658116719Z	direct download	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/baron_200ml_u_straw_datasheet.pdf	139093	1138ba9ef08c521d2d1034470f611243d34506abbfb64fde432d0b3ce4d187aa	success	Research evidence; cite the source URL and respect source terms
baron_200ml_u_straw_datasheet.txt	https://baron-egypt.com/files/data-sheet/200ml-Compi-block-Specification-U-straw.pdf	SP 200 issue 1/0 dated 2017-09-01	2026-09-24T06:30:31.677116579Z	pdftotext -layout from saved PDF	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/baron_200ml_u_straw_datasheet.txt	6827	89a4e95bd4367a2e2f997188b25206fa0aaf34f40ba8655cd27ec1edd9b90cfc	success	Research evidence; cite the source URL and respect source terms
chitaka_2020_publisher_page.txt	https://link.springer.com/article/10.1007/s11367-020-01786-w	Publisher abstract page	2026-09-24T06:32:49.261385781Z	Devin web fetch; rendered text snapshot	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/chitaka_2020_publisher_page.txt	10366	545f5116cfce8e00599fd6ca4aae14decd73522b5a2911eb0db871e9a2ce2b82	success	Research evidence; cite the source URL and respect source terms
denmark_order_681_2020_fcm.pdf	https://en.foedevarestyrelsen.dk/Media/638204383156890144/Danish%20Order%20No%20681%20of%2025%20May%202020%20on%20Food%20Contact%20Materials.pdf	Danish Order No. 681/2020	2026-09-24T06:27:54.706599017Z	direct download	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/denmark_order_681_2020_fcm.pdf	647739	a862271e76b5ed6548160261202b16bf0958b4f689a2fab49fabae91937f22b5	success	Research evidence; cite the source URL and respect source terms
denmark_order_681_2020_fcm.txt	https://en.foedevarestyrelsen.dk/Media/638204383156890144/Danish%20Order%20No%20681%20of%2025%20May%202020%20on%20Food%20Contact%20Materials.pdf	Danish Order No. 681/2020	2026-09-24T06:28:18.933287706Z	pdftotext -layout from saved PDF	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/denmark_order_681_2020_fcm.txt	54717	bb82fb125a29b46fc98765a7dc8031833299717968fa7d9fee451fb8e9288ffe	success	Research evidence; cite the source URL and respect source terms
ekn_2025_jeon_korea_summary.html	https://m.ekn.kr/view.php?key=20251110022145067	Korean secondary report 2025	2026-09-24T06:31:23.606839712Z	direct download	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/ekn_2025_jeon_korea_summary.html	44376	62b324071c74dd011fcf0d9cf2da1fa6f49e5e3e97bb475402af8c5a610ce105	success	Secondary source only; detailed values provisional pending primary full text
eu_2026_ppwr_guidance.pdf	https://eur-lex.europa.eu/	EU legal document attempted direct retrieval	2026-09-24T06:31:42.052751494Z	curl returned empty body; retained without overwrite	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/eu_2026_ppwr_guidance.pdf	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	failed	Failed snapshot; not evidence
eu_directive_2019_904_sup.pdf	https://eur-lex.europa.eu/	EU legal document attempted direct retrieval	2026-09-24T06:31:41.434754450Z	curl returned empty body; retained without overwrite	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/eu_directive_2019_904_sup.pdf	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	failed	Failed snapshot; not evidence
eu_ppwr_2025_40.html	https://eur-lex.europa.eu/	EU legal document attempted direct retrieval	2026-09-24T06:30:36.269082573Z	curl returned empty body; retained without overwrite	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/eu_ppwr_2025_40.html	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	failed	Failed snapshot; not evidence
eu_regulation_2025_40_ppwr.pdf	https://eur-lex.europa.eu/	EU legal document attempted direct retrieval	2026-09-24T06:31:41.348754861Z	curl returned empty body; retained without overwrite	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/eu_regulation_2025_40_ppwr.pdf	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	failed	Failed snapshot; not evidence
eu_sup_directive_2019_904.html	https://eur-lex.europa.eu/	EU legal document attempted direct retrieval	2026-09-24T06:30:36.358081915Z	curl returned empty body; retained without overwrite	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/eu_sup_directive_2019_904.html	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	failed	Failed snapshot; not evidence
federal_register_2025_31703_pfas_fcns.pdf	https://www.govinfo.gov/content/pkg/FR-2025-01-06/pdf/2024-31703.pdf	Federal Register 2024-31703 / 90 FR 582	2026-09-24T06:31:41.806752674Z	direct download	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/federal_register_2025_31703_pfas_fcns.pdf	184670	78e7d332dab8244acc2a02c64c36d5277ce87bf367be5e4e7a128ab884cb4610	success	Research evidence; cite the source URL and respect source terms
federal_register_2025_31703_pfas_fcns.txt	https://www.govinfo.gov/content/pkg/FR-2025-01-06/pdf/2024-31703.pdf	Federal Register 2024-31703 / 90 FR 582	2026-09-24T06:31:41.820752607Z	pdftotext -layout from saved PDF	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/federal_register_2025_31703_pfas_fcns.txt	29547	fc9025ac3568efa60d15202278adfb160f8da614291faba9c93618380c7984cb	success	Research evidence; cite the source URL and respect source terms
franz_mensch_421001_datasheet.pdf	https://www.franz-mensch.de/en/downloadfile?file=%2Ffiles%2Fdocuments%2FTDB%2F421001%2F421001_TDB_EN.pdf	421001_TDB_EN	2026-09-24T06:27:48.594677560Z	direct download	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/franz_mensch_421001_datasheet.pdf	159292	afc21edd0709996777245019d031d35b9e143a335387e22de9502f0096e6ff38	success	Research evidence; cite the source URL and respect source terms
franz_mensch_421001_datasheet.txt	https://www.franz-mensch.de/en/downloadfile?file=%2Ffiles%2Fdocuments%2FTDB%2F421001%2F421001_TDB_EN.pdf	421001_TDB_EN	2026-09-24T06:28:18.648291368Z	pdftotext -layout from saved PDF	/home/ubuntu/repos/wip/functional_geometry/data/raw/straw_sources/franz_mensch_421001_datasheet.txt	3534	cfc06b50d69a322526e0b0693009215eca005264336f6baf03246cc078059d05	success	Research evidence; cite the source URL and respect source terms
