variable_name,definition,unit,classification,allowed_values_or_formula,primary_source,notes
straw_length_mm,End-to-end supplied straw length,mm,measured/manufacturer-provided,positive numeric,S01/S03/S04/S05/S06/S07,"Specify folded, extended, or straight state"
straw_inner_diameter_mm,Internal bore diameter,mm,measured/manufacturer-provided,positive numeric,S02/S03/S06,"ISO tolerance applies only to PP straws within the standard scope"
straw_outer_diameter_mm,External tube diameter,mm,measured/manufacturer-provided,positive numeric,S01/S03/S06/S07,"Some sources say 'diameter' without explicitly distinguishing inner/outer"
straw_wall_thickness_mm,Radial wall thickness,mm,measured/calculated/manufacturer-provided,"(OD−ID)/2 or stated specification",S02/S03/S06,"Paper caliper may differ from calculated tube-wall thickness"
straw_mass_g,Mass of one unwrapped straw,g,measured/manufacturer-provided/calculated,positive numeric,S01/S03/S05/S06,"Huhtamaki unit value is calculated from carton net mass and flagged provisional"
straw_material,Principal structural material,text,manufacturer-provided,"PP; paper; PLA; glass; steel; bamboo; jute; other",S01/S03/S04/S05/S06/S07,"Record coatings/additives separately when known"
wrapper_mass_g,Mass of individual wrapper per straw,g,manufacturer-provided,nonnegative numeric,S01,"Baron provides film dimensions/properties but not wrapper mass"
wrapper_material,Material of individual wrapper,text,manufacturer-provided,"polymer film; paper+polymer; PE; OPP; none; unknown",S01/S05/S06,"Distinguish material from mass"
container_volume_ml,Nominal beverage fill volume,mL,manufacturer-provided,positive numeric,S01/S06/S08,"Nominal volume is not external geometric volume"
container_surface_area_m2,Reported package material surface area,m²,manufacturer-sponsored study,positive numeric,S01,"Tetra Pak reports 0.03 m² for the 200 mL package"
container_external_height_mm,External pack height,mm,missing/measured,positive numeric,none,"Do not infer from nominal volume"
container_external_width_mm,External pack width,mm,missing/measured,positive numeric,none,"Do not infer from nominal volume"
container_external_depth_mm,External pack depth,mm,missing/measured,positive numeric,none,"Do not infer from nominal volume"
straw_hole_diameter_mm,Nominal opening or straw-hole size,mm,manufacturer-provided,positive numeric,S08,"SIG xSlimBloc page lists 6 and 8 mm options; not necessarily puncture slit diameter"
insertion_point_xyz_mm,Position of insertion point in container coordinate system,mm,missing,three coordinates,none,"Required for analytical minimum-length geometry"
insertion_design,Description of membrane/opening and puncture geometry,text,manufacturer-provided,controlled vocabulary plus source,S01/S07,"Tetra Pak: small foil opening; SIG: closed straw hole pierced by diagonal cut"
mouth_protrusion_mm,Length outside container required for acceptable drinking,mm,assumed/future measured,nonnegative numeric,none,"Must be defined and tested"
residual_liquid_ml,Unconsumed beverage after attempted normal use,mL,future measured,nonnegative numeric,none,"Primary functional constraint candidate"
straw_angle_deg,Angle of straw during use relative to defined container axis,degree,future measured,numeric,none,"Coordinate convention must be defined"
axial_failure_force_N,Force at axial collapse or failure,N,measured/future measured,positive numeric,S03,"Laboratory geometry and wet exposure must accompany the value"
radial_failure_force_N,Force at radial collapse or failure,N,measured/future measured,positive numeric,S03,"Not interchangeable with user biting or puncture force"
bend_test_pass,Whether straw ruptures after specified bend test,boolean,standards-derived,true/false,S02,"ISO method: 90° bend/release at five points for PP straws"
wet_exposure_time_min,Time immersed or exposed before mechanical test,min,measured protocol,nonnegative numeric,S03,"Liquid, depth, and temperature must also be recorded"
liquid_temperature_C,Initial liquid temperature,°C,measured protocol,numeric,S03,"Gutierrez tested water at 0, 21, 48, 82°C and cold carbonated beverage"
