claim_id,manuscript_location,claim_text_short,reference_id,support_status,source_location,notes,action
C001,Introduction paragraph 1,Cleaner production prioritizes prevention and source reduction,unep_cp;epa_p2,DIRECT,"UNEP Introduction to Cleaner Production; US EPA Pollution Prevention Act summary","Both sources define prevention before treatment or disposal","Retain with both citations"
C002,Introduction paragraph 1,Material efficiency seeks material services with less production,allwood2011;allwood2013,REASONABLE_SYNTHESIS,"Resources, Conservation and Recycling 55:362-381; Philosophical Transactions of the Royal Society A 371:20120496","The wording synthesizes the papers' material-efficiency framing without attributing a numerical effect","Retain"
C003,Introduction paragraph 2,Eco-design frameworks cover multiple life-cycle design strategies,bovea2012;ardente2014,REASONABLE_SYNTHESIS,"J. Clean. Prod. 20:61-71; J. Clean. Prod. 83:126-141","The sentence summarizes the design-strategy scope of both reviews/case methods","Retain"
C004,Introduction paragraph 2,Circular design includes slowing closing and narrowing loops,bocken2016;geissdoerfer2017,DIRECT,"J. Ind. Prod. Eng. 33:308-320; J. Clean. Prod. 143:757-768","The strategy terms and system framing are stated in the cited literature","Retain"
C005,Introduction paragraph 3,Material Input per Service Unit links input to service,liedtke2014,DIRECT,"Resources 3:544-574","MIPS is defined around material input and service units","Retain"
C006,Introduction paragraph 5,Dematerialization can shift burdens across a product system,vandervoet2004,REASONABLE_SYNTHESIS,"J. Ind. Ecol. 8:121-137","The manuscript uses the review as conceptual context and makes no product-specific effect claim","Retain"
C007,Introduction paragraph 5,Efficiency and circular measures can produce rebound,castro2022;metic2022;lowe2024,REASONABLE_SYNTHESIS,"J. Clean. Prod. 345:131136; J. Ind. Ecol. 26:1247-1262; J. Clean. Prod. 443:141063","The cited reviews distinguish rebound mechanisms; the manuscript avoids numerical extrapolation","Retain"
C008,Introduction paragraph 6,Consumable-product design differs from durable-product guidance,willskytt2021,DIRECT,"J. Clean. Prod. 296:126463","The review specifically evaluates resource-efficient design for consumables","Retain"
C009,Introduction paragraph 8,Reduced-width and partitionable paper have prior-art histories,us453003;us20160345786;wo2003026472,DIRECT,"US453003A description; US20160345786A1 claims/description; WO2003026472A1 description","Patent identity and applicant/inventor metadata were repaired in the patent audit","Retain; no patentability claim"
C010,Methods 2.2,Life-cycle comparison requires a functional unit and system boundary,iso14040;iso14044,DIRECT,"ISO 14040 clauses on principles/framework; ISO 14044 requirements/guidelines","Used only for general LCA requirements","Retain"
