reference_id,reference_type,authors_or_corporate_author,title,year,source,volume,issue,pages_or_article_number,doi,patent_number,primary_verification_source,secondary_verification_source,verification_date,verification_status,notes
allwood2011,journal article,"Allwood, J.M.; Ashby, M.F.; Gutowski, T.G.; Worrell, E.","Material efficiency: A white paper",2011,Resources Conservation and Recycling,55,3,362-381,10.1016/j.resconrec.2010.11.002,,https://api.crossref.org/works/10.1016%2Fj.resconrec.2010.11.002,https://doi.org/10.1016/j.resconrec.2010.11.002,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
allwood2013,journal article,"Allwood, J.M.; Ashby, M.F.; Gutowski, T.G.; Worrell, E.","Material efficiency: providing material services with less material production",2013,Philosophical Transactions of the Royal Society A,371,1986,20120496,10.1098/rsta.2012.0496,,https://api.crossref.org/works/10.1098%2Frsta.2012.0496,https://doi.org/10.1098/rsta.2012.0496,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
ardente2014,journal article,"Ardente, F.; Mathieux, F.","Identification and assessment of product's measures to improve resource efficiency: the case-study of an Energy using Product",2014,Journal of Cleaner Production,83,,126-141,10.1016/j.jclepro.2014.07.058,,https://api.crossref.org/works/10.1016%2Fj.jclepro.2014.07.058,https://doi.org/10.1016/j.jclepro.2014.07.058,2026-09-24,INCORRECT_REPAIRED,Configured title had omitted the subtitle and possessive form; corrected to Crossref metadata.
bocken2016,journal article,"Bocken, N.M.P.; de Pauw, I.; Bakker, C.; van der Grinten, B.","Product design and business model strategies for a circular economy",2016,Journal of Industrial and Production Engineering,33,5,308-320,10.1080/21681015.2016.1172124,,https://api.crossref.org/works/10.1080%2F21681015.2016.1172124,https://doi.org/10.1080/21681015.2016.1172124,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
boisacq2023,journal article,"Boisacq, P.; De Keuster, M.; Prinsen, E.; Jeong, Y.; Bervoets, L.; Eens, M.; Covaci, A.; Willems, T.; Groffen, T.","Assessment of poly- and perfluoroalkyl substances (PFAS) in commercially available drinking straws using targeted and suspect screening approaches",2023,Food Additives and Contaminants Part A,40,9,1230-1241,10.1080/19440049.2023.2240908,,https://api.crossref.org/works/10.1080%2F19440049.2023.2240908,https://doi.org/10.1080/19440049.2023.2240908,2026-09-24,INCORRECT_REPAIRED,Added the parenthetical acronym and complete issue and page metadata from Crossref.
bovea2012,journal article,"Bovea, M.D.; Pérez-Belis, V.","A taxonomy of ecodesign tools for integrating environmental requirements into the product design process",2012,Journal of Cleaner Production,20,1,61-71,10.1016/j.jclepro.2011.07.012,,https://api.crossref.org/works/10.1016%2Fj.jclepro.2011.07.012,https://doi.org/10.1016/j.jclepro.2011.07.012,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
castro2022,journal article,"Castro, C.G.; Trevisan, A.H.; Pigosso, D.C.A.; Mascarenhas, J.","The rebound effect of circular economy: definitions, mechanisms and a research agenda",2022,Journal of Cleaner Production,345,,131136,10.1016/j.jclepro.2022.131136,,https://api.crossref.org/works/10.1016%2Fj.jclepro.2022.131136,https://doi.org/10.1016/j.jclepro.2022.131136,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
chitaka2020,journal article,"Chitaka, T.Y.; Russo, V.; von Blottnitz, H.","In pursuit of environmentally friendly straws: a comparative life cycle assessment of five straw material options in South Africa",2020,International Journal of Life Cycle Assessment,25,9,1818-1832,10.1007/s11367-020-01786-w,,https://api.crossref.org/works/10.1007%2Fs11367-020-01786-w,https://link.springer.com/article/10.1007/s11367-020-01786-w,2026-09-24,VERIFIED_MULTIPLE,Crossref and Springer metadata agree.
garciaarca2020,journal article,"García-Arca, J.; Comesaña-Benavides, J.A.; González-Portela Garrido, A.T.; Prado-Prado, J.C.","Rethinking the box for sustainable logistics",2020,Sustainability,12,5,1870,10.3390/su12051870,,https://api.crossref.org/works/10.3390%2Fsu12051870,https://doi.org/10.3390/su12051870,2026-09-24,VERIFIED_MULTIPLE,Crossref and publisher metadata agree.
geissdoerfer2017,journal article,"Geissdoerfer, M.; Savaget, P.; Bocken, N.M.P.; Hultink, E.J.","The Circular Economy - A new sustainability paradigm?",2017,Journal of Cleaner Production,143,,757-768,10.1016/j.jclepro.2016.12.048,,https://api.crossref.org/works/10.1016%2Fj.jclepro.2016.12.048,https://doi.org/10.1016/j.jclepro.2016.12.048,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
gutierrez2019,journal article,"Gutierrez, J.N.; Royals, A.W.; Jameel, H.; Venditti, R.A.; Pal, L.","Evaluation of paper straws versus plastic straws: Development of a methodology for testing and understanding challenges for paper straws",2019,BioResources,14,4,8345-8363,10.15376/biores.14.4.8345-8363,,https://api.crossref.org/works/10.15376%2Fbiores.14.4.8345-8363,https://bioresources.cnr.ncsu.edu/resources/evaluation-of-paper-straws-versus-plastic-straws-development-of-a-methodology-for-testing-and-understanding-challenges-for-paper-straws/,2026-09-24,INCORRECT_REPAIRED,Previous title paraphrased the paper; replaced with the exact Crossref and publisher title.
iso14040,international standard,International Organization for Standardization,ISO 14040:2006 Environmental management - Life cycle assessment - Principles and framework,2006,ISO,,,,,,https://www.iso.org/standard/37456.html,,2026-09-24,VERIFIED_PRIMARY,Official ISO catalogue entry; full standard is copyright-restricted.
