identifier,database,source_url,acquired_utc,retrieval_method,retrieval_status,local_file,file_size_bytes,sha256,usage_conditions,notes
"CN202665404U","Google Patents","https://patents.google.com/patent/CN202665404U/en","2026-09-24T06:33:42Z","curl","success","CN202665404U.google.html","49768","6322f075b8a536ee095cd22e985881851a5b958b378aea3a98951cbbbfbb0ef6","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US10390662B1","Google Patents","https://patents.google.com/patent/US10390662B1/en","2026-09-24T06:30:30Z","curl","success","US10390662B1.google.html","129937","7f675cc881ce4473a388bf2b13df0913606bbabc654287db549e3e869fc6b660","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US20110309544A1","Google Patents","https://patents.google.com/patent/US20110309544A1/en","2026-09-24T06:30:32Z","curl","success","US20110309544A1.google.html","426713","c2004447db9176feccdef8348b73c5d50ae2a5c3e90fa2a162012f82b3dbb702","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US20110311748A1","Google Patents","https://patents.google.com/patent/US20110311748A1/en","2026-09-24T06:27:10Z","curl","success","US20110311748A1.google.html","449199","7c503b9c084fb6b7f69c1d757ad8fea5ca278e3cb296ac3ec53f4a591afa1f3b","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US20160345786A1","Espacenet","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2016345786A1&KC=A1&FT=D","2026-09-24T06:28:44Z","curl","failed_empty_response","US20160345786A1.espacenet.html","1","cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","One-byte command-line response; no bibliographic content."
"US20160345786A1","Google Patents","https://patents.google.com/patent/US20160345786A1/en","2026-09-24T06:27:08Z","curl","success","US20160345786A1.google.html","373577","ed27ce9fa87744feed68761bd08b0ed1b56cc2c1cc5a38b6b62d90f4249c0029","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US20230165413A1","Espacenet","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2023165413A1&KC=A1&FT=D","2026-09-24T06:28:43Z","curl","failed_empty_response","US20230165413A1.espacenet.html","1","cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","One-byte command-line response; no bibliographic content."
"US20230165413A1","Google Patents","https://patents.google.com/patent/US20230165413A1/en","2026-09-24T06:30:31Z","curl","success","US20230165413A1.google.html","199245","a258c7666464ed14a26015d8ae81cd07a631bf40923ba8a401171d046eb01092","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US453003A","Google Patents","https://patents.google.com/patent/US453003A/en","2026-09-24T06:27:07Z","curl","success","US453003A.google.html","85682","cdc45a53ad51c5fc0fd31534e82be269d4382905a039eacf67cc7209f63c85a7","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US6503326B1","Google Patents","https://patents.google.com/patent/US6503326B1/en","2026-09-24T06:27:09Z","curl","success","US6503326B1.google.html","228763","5d033d23507329eef0e3bcc0cdb56e0a803de3e4ddcdd04682111b6eabf6631f","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
